Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA
Norway,Eliteserien,2024,13/07/2024,21:00,Tromso,KFUM Oslo,1,2,A,2.04,3.53,3.82,2.08,3.69,3.9,2,3.46,3.65,2.12,3.55,3.9
Norway,Eliteserien,2024,19/07/2024,18:00,Bodo/Glimt,Odd,3,1,H,1.18,8.59,13.57,1.21,8.59,17,1.17,7.8,13.22,1.2,8.8,17.5
Norway,Eliteserien,2024,20/07/2024,17:00,Sarpsborg 08,Brann,1,1,D,3.72,4.46,1.84,3.75,4.58,1.84,3.61,4.31,1.8,3.85,4.5,1.9
Norway,Eliteserien,2024,20/07/2024,19:15,Molde,KFUM Oslo,2,3,A,1.56,4.43,5.88,1.58,4.67,6,1.53,4.35,5.55,1.58,4.6,6.4
Norway,Eliteserien,2024,21/07/2024,13:30,Stromsgodset,Tromso,0,1,A,2.46,3.64,2.85,2.47,3.75,3.5,2.31,3.56,2.9,2.5,3.75,2.96
Norway,Eliteserien,2024,21/07/2024,16:00,HamKam,Fredrikstad,0,1,A,2.69,3.25,2.83,2.71,3.32,2.9,2.61,3.21,2.73,2.78,3.4,2.88
Norway,Eliteserien,2024,21/07/2024,16:00,Haugesund,Viking,1,0,H,3.57,3.76,2.05,3.75,3.85,2.11,3.44,3.66,2.01,3.7,3.8,2.1
Norway,Eliteserien,2024,27/07/2024,15:00,KFUM Oslo,Bodo/Glimt,1,1,D,4.6,4.22,1.72,4.9,4.3,1.75,4.39,4.08,1.7,5,4.3,1.75
Norway,Eliteserien,2024,27/07/2024,17:00,Fredrikstad,Rosenborg,2,2,D,1.94,3.63,4.08,1.98,3.7,4.11,1.92,3.53,3.88,2.02,3.7,4.2
Norway,Eliteserien,2024,28/07/2024,16:00,Lillestrom,Sarpsborg 08,2,2,D,1.83,4.22,3.98,1.91,4.22,4.02,1.8,4.07,3.84,1.88,4.2,4.1
Norway,Eliteserien,2024,28/07/2024,16:00,Odd,Stromsgodset,2,0,H,2.91,3.76,2.36,2.98,3.8,2.36,2.84,3.66,2.28,3,3.85,2.42
Norway,Eliteserien,2024,28/07/2024,16:00,Sandefjord,Haugesund,4,3,H,2.09,3.74,3.47,2.12,3.75,3.8,2.03,3.66,3.37,2.14,3.8,3.6
Norway,Eliteserien,2024,28/07/2024,16:00,Tromso,Kristiansund,0,0,D,1.51,4.64,6.2,1.61,4.65,6.25,1.53,4.32,5.64,1.55,4.8,6.4
Norway,Eliteserien,2024,28/07/2024,18:15,Viking,Molde,1,0,H,2.63,3.74,2.6,2.7,3.85,2.61,2.58,3.68,2.5,2.74,3.9,2.58
Norway,Eliteserien,2024,03/08/2024,17:00,Bodo/Glimt,Haugesund,4,2,H,1.24,7.62,11.98,1.25,8.02,12,1.21,7.13,10.73,1.21,8.6,16
Norway,Eliteserien,2024,04/08/2024,16:00,Fredrikstad,KFUM Oslo,0,0,D,2.34,3.33,3.27,2.4,3.45,3.45,2.29,3.27,3.11,2.4,3.4,3.4
Norway,Eliteserien,2024,04/08/2024,16:00,HamKam,Viking,3,3,D,2.97,3.74,2.33,2.97,3.75,2.47,2.79,3.6,2.34,2.94,3.8,2.48
Norway,Eliteserien,2024,04/08/2024,16:00,Kristiansund,Lillestrom,2,1,H,3.94,4.31,1.82,4,4.33,1.84,3.82,4.14,1.78,4.1,4.4,1.87
Norway,Eliteserien,2024,04/08/2024,16:00,Sarpsborg 08,Sandefjord,2,1,H,1.9,4.42,3.53,1.95,4.5,3.65,1.88,4.17,3.45,1.95,4.4,3.75
Norway,Eliteserien,2024,04/08/2024,16:00,Stromsgodset,Brann,2,3,A,2.5,4.01,2.6,2.53,4.11,2.6,2.44,3.9,2.53,2.6,4.1,2.66
Norway,Eliteserien,2024,04/08/2024,18:15,Rosenborg,Tromso,1,0,H,2.04,3.66,3.7,2.05,3.72,3.75,2,3.57,3.51,2.08,3.75,3.8
Norway,Eliteserien,2024,09/08/2024,18:00,Sandefjord,Stromsgodset,2,2,D,2.23,3.89,3.04,2.28,4,3.04,2.19,3.83,2.9,2.26,4,3.15
